x	term	good	error
2.5000000000e+00	0	2.5000000000e+00	3.1773038639e+00
2.5000000000e+00	1	-1.0416666667e-01	1.1740543277e+00
2.5000000000e+00	2	7.0963541667e-01	1.8574510720e-01
2.5000000000e+00	3	5.8853391617e-01	1.6605999178e-02
2.5000000000e+00	4	5.9904619920e-01	9.5920102799e-04
2.5000000000e+00	5	5.9844891039e-01	3.8821711013e-05
2.5000000000e+00	6	5.9847284023e-01	1.1631743634e-06
2.5000000000e+00	7	5.9847212803e-01	2.6851987126e-08
2.5000000000e+00	8	5.9847214440e-01	4.9236833621e-10
2.5000000000e+00	9	5.9847214410e-01	7.3458074469e-12
2.5000000000e+00	10	5.9847214410e-01	9.0343154367e-14
2.5000000000e+00	11	5.9847214410e-01	1.4840764578e-15
2.5000000000e+00	12	5.9847214410e-01	5.5652867167e-16
