x	term	good	error
1.5000000000e+00	0	0.0000000000e+00	1.0000000000e+00
1.5000000000e+00	1	1.5000000000e+00	5.0376695637e-01
1.5000000000e+00	2	9.3750000000e-01	6.0145652269e-02
1.5000000000e+00	3	1.0007812500e+00	3.2945162032e-03
1.5000000000e+00	4	9.9739118304e-01	1.0406425068e-04
1.5000000000e+00	5	9.9749712263e-01	2.1413885007e-06
1.5000000000e+00	6	9.9749495568e-01	3.0999573483e-08
1.5000000000e+00	7	9.9749498694e-01	3.3294681796e-10
1.5000000000e+00	8	9.9749498660e-01	2.7587093928e-12
1.5000000000e+00	9	9.9749498660e-01	1.8253382572e-14
