x	term	good	error
3.5000000000e+00	0	3.5000000000e+00	1.0977672031e+01
3.5000000000e+00	1	-3.6458333333e+00	9.3934083660e+00
3.5000000000e+00	2	7.3098958333e-01	3.0838783774e+00
3.5000000000e+00	3	-5.4558376736e-01	5.5533025611e-01
3.5000000000e+00	4	-3.2838899589e-01	6.3840657230e-02
3.5000000000e+00	5	-3.5257659544e-01	5.1124672103e-03
3.5000000000e+00	6	-3.5067724868e-01	3.0212108703e-04
3.5000000000e+00	7	-3.5078804391e-01	1.3729896981e-05
3.5000000000e+00	8	-3.5078305405e-01	4.9500946809e-07
3.5000000000e+00	9	-3.5078323278e-01	1.4508379865e-08
3.5000000000e+00	10	-3.5078322757e-01	3.5255729078e-10
