x	term	good	error
1.0500000000e+01	0	1.0500000000e+01	1.2935944764e+01
1.0500000000e+01	1	-1.8243750000e+02	2.0638704027e+02
1.0500000000e+01	2	8.8113046875e+02	1.0026309147e+03
1.0500000000e+01	3	-1.9107354492e+03	2.1710412172e+03
1.0500000000e+01	4	2.3643092377e+03	2.6886442348e+03
1.0500000000e+01	5	-1.9204514599e+03	2.1820859568e+03
1.0500000000e+01	6	1.1077207639e+03	1.2602089382e+03
1.0500000000e+01	7	-4.8206965359e+02	5.4699588168e+02
1.0500000000e+01	8	1.6232149907e+02	1.8552004257e+02
1.0500000000e+01	9	-4.5409859351e+01	5.0619959328e+01
1.0500000000e+01	10	9.1196222358e+00	1.1366791169e+01
1.0500000000e+01	11	-2.7615543352e+00	2.1392152388e+00
1.0500000000e+01	12	-5.7838814025e-01	3.4251343865e-01
1.0500000000e+01	13	-9.2125719010e-01	4.7245231838e-02
1.0500000000e+01	14	-8.7470384928e-01	5.6745876469e-03
1.0500000000e+01	15	-8.8022267275e-01	5.9897159849e-04
1.0500000000e+01	16	-8.7964648876e-01	5.6009373861e-05
1.0500000000e+01	17	-8.7969987051e-01	4.6726868131e-06
1.0500000000e+01	18	-8.7969545209e-01	3.4998374945e-07
1.0500000000e+01	19	-8.7969578079e-01	2.3666337963e-08
1.0500000000e+01	20	-8.7969575869e-01	1.4525169458e-09
